Type,Country,Activity,Sex,Age,Fatal,Species
Unprovoked,USA,Spearfishing,M,35,N,reef shark
Unprovoked,USA,Surfing,F,22,N,spinner shark
Unprovoked,USA,Surfing,M,24,N,unknown
Unprovoked,USA,Playing,F,7,N,unknown
Unprovoked,USA,Spearfishing,M,26,N,tiger shark
Provoked,USA,Spearfishing,M,15,N,reef shark
Unprovoked,USA,Scuba diving,F,30s,N,tiger shark
Provoked,USA,Fishing,M,35,N,bull shark
Unprovoked,USA,Surfing,F,28,N,tiger shark
Unprovoked,USA,Standing,F,15,N,unknown
Boating,USA,Kayaking,M,57,N,unknown
Unprovoked,USA,Surfing,M,21,N,unknown
Unprovoked,USA,Surfing,M,30,N,white shark
Unprovoked,USA,Swimming,M,29,N,tiger shark
Unprovoked,USA,Surfing,M,23,N,unknown
Unprovoked,USA,Surfing,M,30s,N,unknown
Unprovoked,USA,Surfing,M,18,N,unknown
Unprovoked,USA,Surfing,M,26,N,white shark
Unprovoked,USA,Wading,M,15,N,unknown
Unprovoked,USA,Surfing,M,36,N,white shark
Unprovoked,USA,Surfing,F,20,N,white shark
Unprovoked,USA,Surfing,M,22,N,tiger shark
Unprovoked,USA,Body surfing,F,68,N,unknown
Unprovoked,USA,Wading,F,18,N,bull shark
Unprovoked,USA,Surfing,M,37,N,white shark
Unprovoked,USA,Swimming,M,8,N,sandbar shark
Unprovoked,USA,Surfing,M,16,N,unknown
Unprovoked,USA,Swimming,M,22,N,unknown
Unprovoked,USA,Holding onto an inflatable boat,F,14,N,unknown
Unprovoked,USA,Fishing,M,16,N,bull shark
Unprovoked,USA,Swimming with boogie board,F,14,N,bull shark
Unprovoked,USA,Swimming,M,20,N,unknown
Unprovoked,USA,Swimming,M,33,N,unknown
Unprovoked,USA,Surfing,M,47,N,tiger shark
Unprovoked,USA,Wading,F,70,N,blacktip shark
Provoked,USA,Diving in aquarium display tank,M,45,N,sandtiger shark
Unprovoked,USA,Surfing,lli,38,N,white shark
Unprovoked,USA,Spearfishing,M,34,N,tiger shark
Unprovoked,USA,Surfing,M,26,N,white shark
Unprovoked,USA,Jumping,F,17,N,unknown
Unprovoked,USA,Diving,M,50,N,white shark
Unprovoked,USA,Swimming,M,47,N,unknown
Unprovoked,USA,Swimming,F,13,N,unknown
